WONUM,TASKDESC,TASKDESC - CATEGORY,WOC.TEXTS
60,COOLING TOWER FAN STACKS BOLTS/NUTS TIGHTENING,MECH,
60,COOLING TOWER FAN STACKS BOLTS/NUTS TIGHTENING,MECH,
60,COOLING TOWER FAN STACKS BOLTS/NUTS TIGHTENING,MECH,
60,COOLING TOWER FAN STACKS BOLTS/NUTS TIGHTENING,MECH,
60,COOLING TOWER FAN STACKS BOLTS/NUTS TIGHTENING,MECH,
60,COOLING TOWER FAN STACKS BOLTS/NUTS TIGHTENING,MECH,
60,COOLING TOWER FAN STACKS BOLTS/NUTS TIGHTENING,MECH,
60,COOLING TOWER FAN STACKS BOLTS/NUTS TIGHTENING,MECH,
62,Annual maintenance for chiller - WC3,TASK,"Work Instruction  (To be carried out by Yuslane and OTs)
1.  Collect sample of compressors oil for analysis- Collected earlier & passed to THS
2.  LOTO(Electrical)by LEW - Done by Rama on 02/10/2008 
3.  LOTO(Mechanical)- Done by YBI on 02/10/2008
4.  Drain out cooling water in condenser- Done by YBI on 02/10/2008
5.  Transfer Chilled water in evaporator to temporary storage tanks- Done by YBI on 02/10/2008
6.  Remove insulation on evaporator water box- Done by Daito on 02/10/2008
7.  Check condition of tubes and water box in condenser and evaporator- Done by Daito & SDC monitor on 02/10/2008
8.  Clean tubes and water box of condenser and evaporator- Done by Daito & SDC monitor on 08/10-11/10/2008
9.  Re-paint tube sheet and water box of condenser and evaporator- Done by Daito & SDC monitor on 08/10-11/10/2008
10. Inspect terminal box of compressor motors- Done by Jason on 07/10/2008
11. Megger inlsulation of oil heaters and oil pumps-Done by Jason on 07/10/2008 
12. Megger insulation of compressor motors by LEW - Done by Jason on 07/10/2008
13. Replace refrigerant filter dryers-Done by Daito on 04/10/2008
14. Replace oil filters-Done by Daito on 04/10/2008
15. Check operation of safety valves.-Done by Daito on 07/10/2008
16. Check operation of pressure gauges-Done by Daito & Zawlatt on 04/10/2008
17. Check operation of temperature sensors-Done by Daito & Jason on 06/10/2008
18. Check operation of differential pressure sensors-Done by Daito & Jason on 04/10/2008
19. Check operation of protective relay-Done by Daito & Jason on 06/10/2008
20. Restore insulation on evaporator water box- Done by Apecco on 08/10-10/10/2008
21. Fill cooling water in condenser- Done by YBI on 13/10/2008
22. Transfer Chilled water from temporary storage tanks to evaporator-Done by ASM & YBI on 08/10/2008
23. Purge air in Chilled water circuit,Cooling Water circuit and oil circuit.Done by YBI on 13/10/2008
24. Remove LOTO and re-connect power supply to chiller - Done By Jason & LEW on 10/10/2008 
25. Clean chilled water & cooling water strainer - Done by YBI & ASM on 08/10/2008

*** Performance test: Motor 1 & 2 current limit activated 
                      Otsu-san will checked with his Japanese colleague. To feedback after result."
63,ANNUAL MAINTENANCE FOR CHILLER WC2,TASK,"Work Instruction  (To be carried out by Yuslane and OTs)
1.  Collect sample of compressors oil for analysis - YBI collected earlier & passed to Teo HS
2.  LOTO(Electrical)by LEW  -Done by Jason on 14/10/08
3.  LOTO(Mechanical)- -Done by Yuslane on 14/10/08
4.  Drain out cooling water in condenser-Done by Yuslane on 14/10/08 
5.  Transfer Chilled water in evaporator to temporary storage tanks-Done by Yuslane on 14/10/08
6.  Remove insulation on evaporator water box-Done by Daito & Yuslane on 14/10/08
7.  Check condition of tubes and water box in condenser and evaporator-Done by Daito & Teo HS on 15/10/08 
8.  Clean tubes and water box of condenser and evaporator --Done by Daito on 16/10-18/10/08
9.  Re-paint tube sheet and water box of condenser and evaporator - Done by Daito on 17/10 -18/10
10. Inspect terminal box of compressor motors - Done by Jason & Daito on 17/10
11. Megger inlsulation of oil heaters and oil pumps -- Done by Jason & Daito on 17/10 
12. Megger insulation of compressor motors by LEW - - Done by Jason & Daito on 17/10
13. Replace refrigerant filter dryers - Done By DAito & Azam on 16/10
14. Replace oil filters - Done by Daito & Azam on 16/10
15. Check operation of safety valves.- Done by Daito & Yuslane on 15/10 & sent for pop-up test
16. Check operation of pressure gauges- Done by Daito & Azam on 16/10
17. Check operation of temperature sensors- Done by Jason & Daito on 29/10
18. Check operation of differential pressure sensors- Done by Jason & Daito on 29/10
19. Check operation of protective relay- Done by Jason & Daito on 21/10
20. Restore insulation on evaporator water box- Done by Daito on 29/10
21. Fill cooling water in condenser- Done by Daito & Sahwan/Albert on 30/10
22. Transfer Chilled water from temporary storage tanks to evaporator- Done by Daito & Yuslane/Ariff on 20/10
23. Purge air in Chilled water circuit,Cooling Water circuit and oil circuit.- Done by Daito & Sahwan/Albert on 30/10
24. Remove LOTO and re-connect power supply to chiller - LEW- Done by Daito & Jason/Albert on 30/10
25. Clean chilled water & cooling water strainer- Done by Yuslane on 15/10
26. Eddy current test - Done by Atomic & Yuslane on 23/10 & 24/10"
64,BCDP2 and BCDP1 Terminal Box Cover need to replace some missing bolts.,ELEC,"1. Replaced the 6pcs missing bolts on BCDP1 Motor Terminal Box Cover.
2. Replaced the 1pcs missing bolt on BCDP Motor Terminal Box Cover.

Note:

Should buy spare bolts of  no.17, L=1"""
65,Replace missing bolts on Motor Terminal Box of BCDP1 and BCDP2,ELEC,"1. Replaced 6pcs missing bolts on motor terminal box of BCDP1
2. Replaced 1 pc. missing bolt on motor terminal box of BCDP2

Need to purchase no.17bolts, L=1"""
66,To Fabricate Cover for Exhaust Side of AC-2( Air Compressor No.2),FACILITY,"Purpose:
To prevent power failure trip of AC-1 (Air Compressor No.1) when both compressor is running.

Remedy:
1.Divert the flow of outlet exhaust air blown by  AC-2(Aircompressor No.2) not to go directly  into air intake of AC-1(Air Compressor No. 1).
2.The AC-1 must not suct the exhaust hot air to prevent the power trip."
67,CARGO LIFT BREAKDOWN -  STARTING 10 SEP,FACILITY,"4/9 S/N 17043 - CHECK FOR FAULT  BY WONG CH
11/9 S/N 15146 - REPLCACE CONTROL CARD BY IBRAHIM
12/9 S/N 15146 - ROUTINE SERVICING
22/09/2008- CAME TO BRING BACK PCB BOARD FOR TROUBLESHOOTING/REPLACEMENT

23/09/2008 - JASON INFORMED MITSUBISHI REPLACED PCB CARD & LIFT IS WORKING.
            * ALL STAFF NEED TO MONITOR CLOSELY THE LIFT OPERATION.

25/09/2008 - AT 0200HRS, LIFT BREAKDOWN AGAIN
             JASON CALLED THEM UP.

01/10/2008 - MITSUBISHI CAME FOR LIFT INSPECTION & CERTIFIED LIFT IS IN WORKING CONDITION."
68,CT-01 FAN BLADES CRACK INSPECTION - BIWEEEKLY,MECH,"Work Instructions (To be carried out by Yuslane, OTs for four inspections)
1. Apply LOTO on cooling tower.
2. Inspect condition of cracks on blade no. 11B and 12B.
3. Remove LOTO.

03/10/2008: YUSLANE SCHEDULED FOLLOW-UP INSPECTION BY SAHWAN : 
            1) 27/10/2008 (MONDAY) -  
            2) 10/11/2008 (MONDAY)- 
            3) 26/11/2008 (WEDNESDAY)- 
            4) 12/12/2008 (FRIDAY) - 

10/12/2008 - CT FAN BLADES REPAIR WORK SCHEDULED ON FRIDAY,12/12/2008 AS ROB/HOWDEN WILL BE COMING WITH REDDY/STOLZ.
             SAHWAN & SOE MIN WILL BE ATTACHED.

11/12/2008 - YBI PERFORMED LOCKOUT/TAGOUT FOR CT-1. WILL REQUEST SBS TO PRESS EMERGENCY BUTTON TOMORROW ON TOP OF FAN DECK.
             
28/12/2008- Work complected"
69,CT-03 FAN BLADES CRACK INSPECTION - BIWEEEKLY,MECH,"Work Instructions (To be carried out by Yuslane, OTs for four inspections)
1. Apply LOTO on cooling tower.
2. Inspect condition of cracks on blade no. 51A, 51B and 52A.
3. Remove LOTO.

03/10/2008: YUSLANE SCHEDULED FOLLOW-UP INSPECTION BY SAHWAN : 
            1) 27/10/2008 (MONDAY) -  
            2) 10/11/2008 (MONDAY)- 
            3) 26/11/2008 (WEDNESDAY)- 
            4) 12/12/2008 (FRIDAY) - 

10/12/2008 - CT FAN BLADES REPAIR WORK SCHEDULED ON FRIDAY,12/12/2008 AS ROB/HOWDEN WILL BE COMING WITH REDDY/STOLZ.
             SAHWAN & SOE MIN WILL BE ATTACHED.

11/12/2008 - YBI PERFORMED LOCKOUT/TAGOUT FOR CT-3. WILL REQUEST SBS TO PRESS EMERGENCY BUTTON TOMORROW ON TOP OF FAN DECK.
             
28/12/2008- Work complected"
70,CT-05 FAN BLADES CRACK INSPECTION - BIWEEEKLY,MECH,"Work Instructions (To be carried out by Yuslane, OTs for four inspections)
1. Apply LOTO on cooling tower.
2. Inspect condition of cracks on blade no. 102A and 102B.
3. Remove LOTO.

03/10/2008: YUSLANE SCHEDULED FOLLOW-UP INSPECTION BY SAHWAN : 
            1) 27/10/2008 (MONDAY) -  
            2) 10/11/2008 (MONDAY)- 
            3) 26/11/2008 (WEDNESDAY)- 
            4) 12/12/2008 (FRIDAY) - 


10/12/2008 - CT FAN BLADES REPAIR WORK SCHEDULED ON FRIDAY,12/12/2008 AS ROB/HOWDEN WILL BE COMING WITH REDDY/STOLZ.
             SAHWAN & SOE MIN WILL BE ATTACHED.

11/12/2008 - YBI PERFORMED LOCKOUT/TAGOUT FOR CT-5. WILL REQUEST SBS TO PRESS EMERGENCY BUTTON TOMORROW ON TOP OF FAN DECK.

28/12/2008- Work complected"
71,Replaced Air Mat Filter of Aircompressor No.1,FACILITY,"Filter Mat is dirty.

Replaced on
1.21 August 2008 
2. 23 Sept 2008.

Cleaned dirty Filter Mat using water and soap after replacement."
72,TO SET MINIMUM FLOW FOR FT-1110C,I&C,"TO CHANGE THE MINIMUM FLOW PARAMETER FROM 10m3/h TO 5m3/h. - REQUESTED BY YUSLANE

24/09/08-MEERA ADJUSTED THE FLOW MINIMUM PARAMETER AS REQUESTED.
         FLOWMETER PASSWORD : 50"
73,WATER LEAKAGE AT CDW LEVEL CONTROL VALVE LCV-204,OPERATIONS,"TO INSPECT SOURCE OF LEAKAGE & RECTIFY-YUSLANE

27/09/08 - FOUND THAT THE NEWATER CONDUCTIVITY SENSOR COUPLING LEAKING.
           TIGHHTENED COUPLING & MONITOR FOR 2HRS LATER- NO MORE LEAKAGE.- AZAM"
74,INSTALL LIGHTING AT LOBBY,FACILITY,"TO INSTALL LIGHTING AS THE AREA IS DARK AS REQUESTED BY ARIFF DURING SAFETY INSPECTION.

Lights was being installed in basement 2 entrance door to ice tank 4&5.
36 watts flourescent, single lamp, and weather proof IP65 is used.
New colleauge Mr. Albert able to during  installation.
Testing was done and able to give now light in darkest are when entering ice tank."
75,TEMPERATURE TRANSMITTER OUT OF VALUE,I&C,"MOTOR 2 TEMPERATURE TRANSMITTER B GIVING WRONG VALUE - YUSLANE

29/09/2008 - DISMANTLE THE MOTOR TERMINAL BOX AND CLEAN CONNECTIONS. 
             FIXED BACK AND TIGHTENED TERMINAL CONNECTIONS.
             TEST TEMPERATURE READINGS VALUE WITH DCIS- OK.-RAMA & MEERA."
76,Drain pipe leaking on FCU4-3 in control room,FACILITY,"Subject: Drain pipe leaking on FCU4-3
Problem: water is leaking
Findings: 1.When opening the FCU4-3 cover it was found out the water came from the drain pipe.
          2. Inside the ceiling is the drain pvc pipe is not properly connected and causing a leak.

Solution:
        1. Apeco applied silicon and glue around the area and armaflex cover the area.

Testing: FCU4-3 back to normal condition."
77,Need to replace broken ventillation fan for UPS Input isolation x'former,ELEC,"Subject:Ventillation Fan for Input transformer(UPS) need to replace.

Problem: Ventillation fan sometimes working and also suddenly stop.

Findings: UPS Input Isolation transformer is heating up due to ventillation fan is not working.

This problem may cause to damage the transformer if broken ventillation fan  is not replace. 

Solution: 2 unit ventillation Fan 230V is being purchased.
          1 is used as replacement and other is spare.

Caution:
When shutting down power of isolation transformer make sure that bypass is switch ""on""."
78,WCDP-3 INSUM ERROR MESSAGE INTERMITTENT,I&C,"ERROR MESSAGE TRIGGERED : 1) DCIS - PUMP STATUS INDICATION FROM GREEN TO AMBER
                                                         2) DCIS - PUMP NO READING VALUE FOR kwHE -YUSLANE

30/09/2008 - PUMP IS LOCALLY OPERATING NORMAL.NEED TO MONITOR"
79,LINE 2 - MP MODBUS ERROR MESSAGES TRIGGERRED INTERMITTENT,I&C,"FEW ERROR MESSAGES FROM LINE 2 MODBUS INTERMITTENT - YUSLANE 

Kadar/Rama was checking the modbus converter at E2 LCP and tightenig the all series communication terminals then further we will monitor any abnormal communication loss. - kadar 29/09/08.

As monitoring still have some communication loss was happening in Line 2 modbus so we have to change the modbus converter and further monitoring. 

changed by Kadar, Rama on 02.10.08.

03/10/2008 - MONITOR SYSTEM FOR DURATION OF 1 WEEK.

13/10/2008 - SYSTEM IS IN NORMAL CONDITION."
80,WATER HOSE BROKEN AT MALE TOILET CENTRE CUBICLE,FACILITY,29/09/2008 -BOUGHT A NEW WATER HOSE & REPLACED- AZAM
81,Replacement of broken 3 units starter Resistors on NWMP-4 Control Panel,ELEC,"Subject: Replacement of 3 units broken resistor for NWMP-4 starter panel

Problem: The NWMP-3 is always trip due to the broken (open) 3 units 5ohms 75 watts resistors for starter.

Since there is no spare that time I used the resistors on NWMP-4 Spare panel.

The ABB Spareparts replacement we had received is 100watts bigger size from the original 75W but the value still same and no problem about it.

It is good to have a bigger wattage but not in all aspect. The bigger the wattage can witstand to the high-amps.

I try to relocate the position just to accomodate the size of the resistors.

Spare: 3 units left for future use."
82,WCDP2  Maitenance Hours Run Alarm,TASK,"Cumulative run hours 10017.
Job Scope:
To reset the running hours by performing preventive maintenanance.

Maintenance checklists are done as follows:
1. Check for tightness of bolts of motors
2.  Check for tightness of bolts of pumps
3. Cleaned pump body
4. Cleaned/check  shaft coupling bushing.
5. Performed Megger Testing on motor:
u=273Mohms, v=272Mohms ,w=305Mohms
6. Performed resistance test on motor:
UV=-4.7,VW=-4.2,UW=0.1
7. Check shaft oil condition
8. Check and clean breaker,contactor and fuse.
10.Check indication light working condition.
11. Tightened wiring terminals and termination.
12. Tested running condition in Local Mode and remote mode."
83,COOLING TOWER FAN MOTOR OIL LUBRICATION,TASK,"04/10/2008 - UNDER WEEKLY COOLING TOWER INSPECTION, RAMA FOUND FANS MOTOR LUBRICATION OIL LEVEL IS LOW.
                       NEED TO INSPECT & TOP-UP IF NECESSARY.

Description of Job:
To inspect Cooling Tower Motor Lubrication.

Following items are inspected
1. Motor grease drain sump on forward and aft location.-Grease drain are in half filled, still in good condition.
2. Motor base bolting is in good condition. - Mark still on same position.
3. Checked Motor body and Fan cleaned.- Motor body need to paint.
4. Visual Checked Bushing still in good condition.
5. Checked oil condition for gear level is good."
83,COOLING TOWER FAN MOTOR OIL LUBRICATION,TASK,"Description of Job:
To inspect Cooling Tower Motor Lubrication.

Following items are inspected
1. Motor grease drain sump on forward and aft location.-Grease drain are in half filled, still in good condition.
2. Motor base bolting is in good condition. - Mark still on same position.
3. Checked Motor body and Fan cleaned.- Motor body need to paint.
4. Visual Checked Bushing still in good condition.
5. Checked oil condition for gear level is good."
83,COOLING TOWER FAN MOTOR OIL LUBRICATION,TASK,"Description of Job:
To inspect Cooling Tower Motor Lubrication.

Following items are inspected
1. Motor grease drain sump on forward and aft location.-Grease drain are in half filled, still in good condition.
2. Motor base bolting is in good condition. - Mark still on same position.
3. Checked Motor body and Fan cleaned.- Motor body need to paint.
4. Visual Checked Bushing still in good condition.
5. Checked oil condition for gear level is good."
83,COOLING TOWER FAN MOTOR OIL LUBRICATION,TASK,"Description of Job:
To inspect Cooling Tower Motor Lubrication.

Following items are inspected
1. Motor grease drain sump on forward and aft location.-Grease drain are in half filled, still in good condition.
2. Motor base bolting is in good condition. - Mark still on same position.
3. Checked Motor body and Fan cleaned.- Motor body need to paint.
4. Visual Checked Bushing still in good condition.
5. Checked oil condition for gear level is good."
83,COOLING TOWER FAN MOTOR OIL LUBRICATION,TASK,"Description of Job:
To inspect Cooling Tower Motor Lubrication.

Following items are inspected
1. Motor grease drain sump on forward and aft location.-Grease drain are in half filled, still in good condition.
2. Motor base bolting is in good condition. - Mark still on same position.
3. Checked Motor body and Fan cleaned.- Motor body need to paint.
4. Visual Checked Bushing still in good condition.
5. Checked oil condition for gear level is good."
83,COOLING TOWER FAN MOTOR OIL LUBRICATION,TASK,"Description of Job:
To inspect Cooling Tower Motor Lubrication.

Following items are inspected
1. Motor grease drain sump on forward and aft location.-Grease drain are in half filled, still in good condition.
2. Motor base bolting is in good condition. - Mark still on same position.
3. Checked Motor body and Fan cleaned.- Motor body need to paint.
4. Visual Checked Bushing still in good condition.
5. Checked oil condition for gear level is good."
83,COOLING TOWER FAN MOTOR OIL LUBRICATION,TASK,"Description of Job:
To inspect Cooling Tower Motor Lubrication.

Following items are inspected
1. Motor grease drain sump on forward and aft location.-Grease drain are in half filled, still in good condition.
2. Motor base bolting is in good condition. - Mark still on same position.
3. Checked Motor body and Fan cleaned.- Motor body need to paint.
4. Visual Checked Bushing still in good condition.
5. Checked oil condition for gear level is good."
83,COOLING TOWER FAN MOTOR OIL LUBRICATION,TASK,"Description of Job:
To inspect Cooling Tower Motor Lubrication.

Following items are inspected
1. Motor grease drain sump on forward and aft location.-Grease drain are in half filled, still in good condition.
2. Motor base bolting is in good condition. - Mark still on same position.
3. Checked Motor body and Fan cleaned.- Motor body need to paint.
4. Visual Checked Bushing still in good condition.
5. Checked oil condition for gear level is good."
83,COOLING TOWER FAN MOTOR OIL LUBRICATION,TASK,"Description of Job:
To inspect Cooling Tower Motor Lubrication.

Following items are inspected
1. Motor grease drain sump on forward and aft location.-Grease drain are in half filled, still in good condition.
2. Motor base bolting is in good condition. - Mark still on same position.
3. Checked Motor body and Fan cleaned.- Motor body need to paint.
4. Visual Checked Bushing still in good condition.
5. Checked oil condition for gear level is good."
